,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
ambari-2.1.0,0.1113680839708236,0.2019213663049279,0.2915851272015655,0.3759117594734033,0.4584593488703077,0.5299768724426258,0.5904643301903576,0.6521971179505426,0.7007649884362213,0.7457747731720334,0.7952321650951788,0.8336594911937377,0.8639032200676037,0.8918341932040562,0.9078455790784558,0.911225760540829,0.911225760540829,0.911225760540829,0.911225760540829,0.911225760540829
ambari-2.2.0,0.1257598784194528,0.2207446808510638,0.3187689969604863,0.405015197568389,0.4825227963525836,0.560790273556231,0.6227203647416414,0.692629179331307,0.7287234042553191,0.7720364741641338,0.8282674772036475,0.8643617021276596,0.8993161094224924,0.9274316109422492,0.9361702127659576,0.938449848024316,0.938449848024316,0.938449848024316,0.938449848024316,0.938449848024316
ambari-2.4.0,0.0456257594167679,0.0887606318347509,0.1356622114216281,0.1792223572296476,0.217861482381531,0.2504252733900364,0.2807411907654921,0.3081409477521263,0.3352976913730255,0.3624544349939246,0.3843863912515188,0.4050425273390036,0.4277642770352369,0.441494532199271,0.4500607533414338,0.4519441069258809,0.4522478736330498,0.4522478736330498,0.4522478736330498,0.4522478736330498
ambari-2.5.0,0.1188501934770591,0.220563847429519,0.3197899391929242,0.4262023217247098,0.5149253731343284,0.5964621337755666,0.6578220011055832,0.7122719734660033,0.759812050856827,0.8004422332780542,0.8424543946932007,0.8877833056937534,0.9234383637368712,0.94914317302377,0.9557766721945826,0.9560530679933664,0.9560530679933664,0.9560530679933664,0.9560530679933664,0.9560530679933664
ambari-2.6.0,0.1160471441523118,0.2067089755213055,0.28558476881233,0.3599274705349048,0.4097914777878513,0.4968268359020852,0.5757026291931097,0.6554850407978241,0.6935630099728014,0.7361740707162284,0.7951042611060744,0.85675430643699,0.912058023572076,0.957388939256573,0.9655485040797824,0.9655485040797824,0.9655485040797824,0.9655485040797824,0.9655485040797824,0.9655485040797824
ambari-2.7.0,0.0224280838615309,0.0292540224280838,0.0453437347635299,0.0565577766942954,0.0677718186250609,0.0770355923939541,0.0828863968795709,0.0906874695270599,0.098488542174549,0.1053144807411019,0.1067771818625061,0.1121404193076548,0.1155533885909312,0.1170160897123354,0.1179912237932715,0.1179912237932715,0.1179912237932715,0.1179912237932715,0.1179912237932715,0.1179912237932715
amq-5.1.0,0.1261875761266747,0.2260657734470158,0.3210718635809987,0.4250913520097442,0.5244823386114494,0.6063337393422655,0.6825822168087698,0.7576126674786845,0.8116930572472595,0.8579780755176614,0.8976857490864799,0.9400730816077952,0.9680876979293545,0.9800243605359318,0.9822168087697928,0.9827040194884288,0.9827040194884288,0.9827040194884288,0.9827040194884288,0.9827040194884288
amq-5.2.0,0.1270092226613965,0.2326745718050065,0.3291172595520422,0.4316205533596838,0.522266139657444,0.6060606060606061,0.6808959156785244,0.7559947299077734,0.8108036890645586,0.857707509881423,0.9006587615283268,0.9341238471673254,0.9670619235836628,0.9820816864295124,0.9855072463768116,0.9862977602108036,0.9862977602108036,0.9862977602108036,0.9862977602108036,0.9862977602108036
amq-5.4.0,0.0990018883193957,0.1753439438899379,0.2492581602373887,0.3323442136498516,0.406797949824656,0.4680334502292959,0.5327758295117345,0.5948206096574049,0.6360938764499595,0.6735905044510386,0.7100080927974103,0.740221203129215,0.7677367143242514,0.7855408686269221,0.7912058268141354,0.7912058268141354,0.7912058268141354,0.7912058268141354,0.7912058268141354,0.7912058268141354
amq-5.5.0,0.1198954590003266,0.2156158118262006,0.3048023521724926,0.3975824893825547,0.4864423391048676,0.5697484482195361,0.6533812479581836,0.7275400196014374,0.7869977131656322,0.8350212348905587,0.8866383534792551,0.9176739627572688,0.9523031688990526,0.9758248938255472,0.9807252531852336,0.9807252531852336,0.9807252531852336,0.9807252531852336,0.9807252531852336,0.9807252531852336
